ID,Text,Specific_Sentiment,General_Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
163,Suffering from despair after another setback.,Despair,Sadness,3/10/2021 8:30,StrugglingSoul,Twitter,#Despair #Struggle,5,10,USA,2021,3,10,8
164," Overwhelmed by grief, missing a loved one dearly.  ",Grief,Sadness,7/5/2022 15:45,MourningHeart,Instagram,#Grief #Loss,8,15,Canada,2022,7,5,15
165,Loneliness creeps in as the night grows colder.,Loneliness,Sadness,11/18/2019 21:20,SolitarySoul,Facebook,#Loneliness #Isolation,10,20,UK,2019,11,18,21
166,Jealousy consumes me as I witness others' success.,Jealousy,Sadness,8/12/2020 11:30,EnviousObserver,Twitter,#Jealousy #Envy,12,25,India,2020,8,12,11
167,Resentment building up over past betrayals.,Resentment,Anger,5/22/2018 14:45,BitterHeart,Instagram,#Resentment #Bitterness,7,15,Australia,2018,5,22,14
168,Frustration mounts as obstacles block my path.,Frustration,Anger,1/30/2017 16:10,BlockedGoals,Facebook,#Frustration #Obstacles,10,20,USA,2017,1,30,16
169," Boredom sets in, the day feels endlessly dull.     ",Boredom,Neutral/Calm,9/28/2016 19:45,BoredMind,Twitter,#Boredom #LackOfInterest,8,15,Canada,2016,9,28,19
170," Anxiety grips my heart, worry clouds my thoughts.  ",Anxiety,Fear,4/15/2019 9:00,WorriedMind,Instagram,#Anxiety #Worry,12,25,UK,2019,4,15,9
171,Intimidation by the unknown future ahead.,Intimidation,Fear,12/3/2021 18:30,FearfulSoul,Facebook,#Intimidation #Fear,15,30,India,2021,12,3,18
172,Helplessness sinks in as challenges pile up.,Helplessness,Fear,6/20/2020 14:20,OverwhelmedHeart,Twitter,#Helplessness #Overwhelmed,8,15,Australia,2020,6,20,14
173,Envy eats away at me as I see others' prosperity.,Envy,Anger,11/7/2018 11:30,CovetousMind,Instagram,#Envy #Desire,10,20,Canada,2018,11,7,11
174,Regret over missed opportunities haunts my thoughts.,Regret,Sadness,8/25/2017 16:00,RemorsefulSoul,Facebook,#Regret #MissedChances,12,25,UK,2017,8,25,16
175,Disgust at the sight of injustice and cruelty.,Disgust,Disgust,2/11/2019 9:45,DisgustedHeart,Twitter,#Disgust #Injustice,7,15,India,2019,2,11,9
176," Drowning in despair, hope slipping through my fingers.",Despair,Sadness,4/2/2016 20:20,HopelessHeart,Instagram,#Despair #Hopeless,10,20,USA,2016,4,2,20
177," Grief weighs heavy, tears a constant companion.    ",Grief,Sadness,10/18/2015 15:30,TearfulSoul,Facebook,#Grief #Tears,12,25,Canada,2015,10,18,15
178," Loneliness in a crowded room, a silent cry for connection.",Loneliness,Sadness,7/12/2019 18:10,IsolatedMind,Twitter,#Loneliness #SeekingConnection,15,30,UK,2019,7,12,18
179," Jealousy gnaws at my confidence, a toxic emotion.  ",Jealousy,Sadness,6/3/2018 16:30,SelfDoubt,Instagram,#Jealousy #Insecurity,8,15,India,2018,6,3,16
180," Resentment festers, poisoning relationships.       ",Resentment,Anger,1/15/2022 12:00,BrokenTrust,Facebook,#Resentment #BrokenTrust,10,20,Australia,2022,1,15,12
181," Frustration boils over, a volcanic eruption of emotions.",Frustration,Anger,4/10/2017 14:45,ExplosiveMind,Twitter,#Frustration #EmotionalOutburst,12,25,USA,2017,4,10,14
182," Boredom settles like dust, life feels mundane.     ",Boredom,Neutral/Calm,11/28/2016 19:00,MundaneHeart,Instagram,#Boredom #Monotony,7,15,Canada,2016,11,28,19
183," Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety,Fear,9/5/2018 9:30,RestlessMind,Facebook,#Anxiety #Restlessness,10,20,UK,2018,9,5,9
184," Intimidation by the challenges ahead, fear takes hold.",Intimidation,Fear,10/22/2021 18:30,FearfulJourney,Twitter,#Intimidation #FacingFear,15,30,India,2021,10,22,18
185," Helplessness engulfs me, drowning in a sea of problems.",Helplessness,Fear,5/8/2019 14:20,OverwhelmedSoul,Instagram,#Helplessness #Struggling,8,15,Australia,2019,5,8,14
186," Envy poisons my thoughts, coveting others' success.",Envy,Anger,3/20/2017 11:30,GreenEyedMonster,Facebook,#Envy #Success,10,20,Canada,2017,3,20,11
187,Regret for decisions that led to a painful present.,Regret,Sadness,12/15/2018 16:00,RegretfulMind,Twitter,#Regret #PastChoices,12,25,USA,2018,12,15,16
188,Disgust at the corruption that stains society.,Disgust,Disgust,7/1/2016 9:45,CorruptedHeart,Instagram,#Disgust #Corruption,7,15,UK,2016,7,1,9
189," Sinking in despair, each day darker than the last. ",Despair,Sadness,8/20/2020 20:20,DrowningSoul,Facebook,#Despair #DarkDays,10,20,India,2020,8,20,20
190," Grief overwhelms, a storm of emotions within.      ",Grief,Sadness,2/25/2021 15:30,StormyHeart,Twitter,#Grief #EmotionalStorm,12,25,Canada,2021,2,25,15
191," Loneliness echoes in empty spaces, yearning for connection.",Loneliness,Sadness,9/12/2019 18:10,EchoingSoul,Instagram,#Loneliness #YearningForConnection,15,30,Australia,2019,9,12,18
192," Jealousy poisons my thoughts, resentment brewing within.",Jealousy,Sadness,8/5/2018 16:30,PoisonedMind,Facebook,#Jealousy #Resentment,8,15,USA,2018,8,5,16
193," Resentment festers, a wound that refuses to heal.  ",Resentment,Anger,1/12/2017 12:00,UnforgivingSoul,Twitter,#Resentment #Unforgiving,10,20,India,2017,1,12,12
194," Frustration escalates, a thunderstorm of emotions. ",Frustration,Anger,4/5/2022 14:45,ThunderingMind,Instagram,#Frustration #EmotionalOutburst,12,25,UK,2022,4,5,14
195," Boredom lingers, a stagnant pool of indifference.  ",Boredom,Neutral/Calm,10/2/2021 19:00,StagnantHeart,Facebook,#Boredom #Stagnation,7,15,Canada,2021,10,2,19
196," Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",Curiosity,Anticipation,4/15/2023 10:15,InquisitiveMind,Twitter,#Curiosity #Learning,15,30,USA,2023,4,15,10
197," Lost in the vast sea of information, an indifferent wave in the digital ocean. ",Indifference,Neutral/Calm,11/28/2022 17:30,ApatheticObserver,Instagram,#Indifference #DigitalOverload,7,15,Canada,2022,11,28,17
198," The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ",Confusion,Suprise,4/2/2020 9:45,SeekingClarity,Facebook,#Confusion #LifePuzzle,10,20,UK,2020,4,2,9
199," A numbness settles over me, a shield against the overwhelming emotions life throws my way. ",Numbness,Neutral/Calm,8/10/2021 14:00,EmotionallyDistant,Twitter,#Numbness #EmotionalShield,8,15,India,2021,8,10,14
200," Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",Melancholy,Sadness,6/18/2019 20:45,SunsetDreamer,Instagram,#Melancholy #SunsetMoments,12,25,Australia,2019,6,18,20
201," Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ",Nostalgia,Joy/Happiness,2/5/2018 15:15,MemoryLaneTraveler,Facebook,#Nostalgia #MemoryLane,10,20,USA,2018,2,5,15
202," Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ",Ambivalence,Joy/Happiness,5/30/2022 11:30,MixedFeelings,Twitter,#Ambivalence #UncertainChoices,12,25,Canada,2022,5,30,11
203," Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",Acceptance,Trust,1/10/2023 16:20,ZenLifestyle,Instagram,#Acceptance #LifeJourney,15,30,UK,2023,1,10,16
204," Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ",Determination,Anticipation,9/18/2020 13:45,ResilientSpirit,Facebook,#Determination #AchieveTheImpossible,10,20,India,2020,9,18,13
205," Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ",Serenity,Neutral/Calm,7/3/2021 19:00,NatureSoul,Twitter,#Serenity #NatureRetreat,12,25,Australia,2021,7,3,19
206," Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ",Curiosity,Anticipation,10/8/2022 8:15,EternalLearner,Instagram,#Curiosity #KnowledgeQuest,20,40,USA,2022,10,8,8
207," Floating through the day with an air of indifference, detached from the mundane happenings around. ",Indifference,Neutral/Calm,3/22/2023 16:30,AloofObserver,Facebook,#Indifference #FloatingThroughLife,10,20,Canada,2023,3,22,16
208," Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",Confusion,Suprise,5/15/2021 11:45,ThoughtExplorer,Twitter,#Confusion #ThoughtLabyrinth,15,30,UK,2021,5,15,11
209," Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",Numbness,Neutral/Calm,12/28/2019 14:30,StoicSoul,Instagram,#Numbness #StoicFacade,8,15,Australia,2019,12,28,14
210," Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams. ",Melancholy,Sadness,3/1/2020 19:00,DreamerInSilence,Facebook,#Melancholy #WhispersInTheBreeze,12,25,India,2020,3,1,19
211," Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone. ",Nostalgia,Joy/Happiness,7/10/2018 15:45,JournalKeeper,Twitter,#Nostalgia #JournalMoments,10,20,Canada,2018,7,10,15
212," A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",Ambivalence,Joy/Happiness,1/5/2022 10:30,ThreadWeaver,Instagram,#Ambivalence #ConflictingFeelings,12,25,UK,2022,1,5,10
213," Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",Acceptance,Trust,8/20/2021 16:20,SelfLoveAdvocate,Facebook,#Acceptance #SelfLoveJourney,15,30,Australia,2021,8,20,16
214," Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. ",Determination,Anticipation,11/3/2019 13:45,DreamChaser,Twitter,#Determination #DreamsIntoReality,18,35,USA,2019,11,3,13
215," Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",Serenity,Neutral/Calm,4/12/2020 19:30,OceanSoul,Instagram,#Serenity #OceanRetreat,25,50,Canada,2020,4,12,19
216," Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ",Curiosity,Anticipation,4/15/2022 8:45,HorizonExplorer,Facebook,#Curiosity #NewHorizons,22,45,India,2022,4,15,8
217," Drifting through the day with a nonchalant demeanor, embracing the art of indifference. ",Indifference,Neutral/Calm,2/10/2023 17:00,NonchalantSpirit,Twitter,#Indifference #DriftingThroughLife,9,18,UK,2023,2,10,17
218," Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. ",Confusion,Suprise,8/5/2020 12:15,ComplexThinker,Instagram,#Confusion #PerplexedMind,14,28,Australia,2020,8,5,12
219," Immersed in a state of emotional numbness, a shield against the storm of daily struggles. ",Numbness,Neutral/Calm,12/1/2021 15:30,ShieldedHeart,Facebook,#Numbness #EmotionalShield,10,20,USA,2021,12,1,15
220," A melancholic symphony playing in the background, the soundtrack of a wistful heart. ",Melancholy,Sadness,3/25/2019 21:00,SymphonySoul,Twitter,#Melancholy #WistfulHeart,13,26,Canada,2019,3,25,21
221," Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ",Nostalgia,Joy/Happiness,6/18/2017 14:45,YearbookExplorer,Instagram,#Nostalgia #YearbookMemories,12,25,India,2017,6,18,14
222," Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty. ",Ambivalence,Joy/Happiness,7/8/2022 11:30,DecisiveDilemma,Facebook,#Ambivalence #ShadesOfUncertainty,15,30,Australia,2022,7,8,11
223," Embracing life's imperfections, finding acceptance in the journey, scars and all. ",Acceptance,Trust,5/15/2023 16:20,ImperfectHarmony,Twitter,#Acceptance #ImperfectJourney,18,36,Canada,2023,5,15,16
224," A fiery determination burning within, fueled by the vision of reaching unparalleled heights. ",Determination,Anticipation,9/10/2021 14:45,VisionarySpirit,Instagram,#Determination #UnparalleledHeights,20,40,UK,2021,9,10,14
225," Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. ",Serenity,Neutral/Calm,2/28/2020 18:30,ForestDreamer,Facebook,#Serenity #NatureWhispers,25,50,USA,2020,2,28,18
226," Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. ",Indifference,Neutral/Calm,3/10/2023 16:30,SilentSpectator,Instagram,#Indifference #SilentObserver,9,18,India,2023,3,10,16
227," Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. ",Confusion,Suprise,5/2/2021 11:45,MazeNavigator,Facebook,#Confusion #ThoughtLabyrinth,14,28,Australia,2021,5,2,11
228," An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ",Numbness,Neutral/Calm,10/18/2019 14:30,ResilientFortress,Twitter,#Numbness #StoicResilience,11,22,UK,2019,10,18,14
229," Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",Melancholy,Sadness,1/5/2020 20:00,CanvasDreamer,Instagram,#Melancholy #BittersweetMemories,13,26,USA,2020,1,5,20
230," A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ",Nostalgia,Joy/Happiness,8/10/2018 15:45,DiaryExplorer,Facebook,#Nostalgia #DiaryJourney,12,25,Canada,2018,8,10,15
231," Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ",Ambivalence,Joy/Happiness,1/15/2022 10:30,CrossroadsTraveler,Twitter,#Ambivalence #ConflictingEmotions,15,30,India,2022,1,15,10
232," Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",Acceptance,Trust,7/20/2021 16:20,MosaicDreamer,Instagram,#Acceptance #BeautifulChaos,18,36,Australia,2021,7,20,16
233," Determination as the driving force, propelling me forward on the path to extraordinary achievements. ",Determination,Anticipation,12/3/2019 13:45,PathfinderSpirit,Facebook,#Determination #ExtraordinaryPath,20,40,USA,2019,12,3,13
234," Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ",Serenity,Neutral/Calm,4/12/2020 19:30,RaindropHarmony,Twitter,#Serenity #RaindropMelody,25,50,Canada,2020,4,12,19
235," Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",Curiosity,Anticipation,5/8/2022 8:45,SeekerOfUnknowns,Instagram,#Curiosity #SeekerOfKnowledge,22,45,UK,2022,5,8,8
236," Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ",Indifference,Neutral/Calm,2/22/2023 17:00,NonchalantWanderer,Facebook,#Indifference #DriftingThroughLife,9,18,India,2023,2,22,17
237," Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ",Confusion,Suprise,6/5/2020 12:15,ShadowedSeeker,Twitter,#Confusion #LabyrinthOfThoughts,14,28,Australia,2020,6,5,12
238," Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",Numbness,Neutral/Calm,11/30/2021 15:30,TurbulentShield,Instagram,#Numbness #EmotionalStorms,10,20,Canada,2021,11,30,15
239," Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ",Melancholy,Sadness,2/25/2019 21:00,WistfulPainter,Facebook,#Melancholy #WistfulYearning,13,26,UK,2019,2,25,21
240," Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ",Nostalgia,Joy/Happiness,5/18/2017 14:45,TaleWeaver,Twitter,#Nostalgia #PhotoAlbumStories,12,25,USA,2017,5,18,14
241," Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ",Ambivalence,Joy/Happiness,8/5/2022 11:30,CrossroadsExplorer,Instagram,#Ambivalence #CrossroadsConfusion,15,30,Canada,2022,8,5,11
242," Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ",Acceptance,Trust,6/15/2023 16:20,MosaicArtist,Facebook,#Acceptance #UnpredictableArt,18,36,Australia,2023,6,15,16
243," Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ",Determination,Anticipation,10/10/2021 14:45,DreamSculptor,Twitter,#Determination #SculptingDreams,20,40,UK,2021,10,10,14
244," Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ",Serenity,Neutral/Calm,5/12/2020 19:30,MoonlitSoul,Instagram,#Serenity #MoonlitPeace,25,50,USA,2020,5,12,19
245," Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ",Curiosity,Anticipation,12/1/2022 9:15,FearlessExplorer,Facebook,#Curiosity #FearlessExplorer,22,44,India,2022,12,1,9
246,"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",Numbness,Neutral/Calm,11/30/2021 15:30,TurbulentShield,Instagram,#Numbness #EmotionalStorms,10,20,Canada,2021,11,30,15
247," Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. ",Zest,Joy/Happiness,7/12/2018 17:45,JoyfulDancer,Twitter,#Zest #CarefreeSpirit,15,30,USA,2018,7,12,17
248," Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",Contentment,Neutral/Calm,9/5/2020 20:10,SereneBasker,Facebook,#Contentment #GoldenGlow,18,36,Australia,2020,9,5,20
249," Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ",Hopeful,Anticipation,4/18/2022 8:00,DreamPainter,Instagram,#Hopeful #CanvasOfDreams,12,24,India,2022,4,18,8
250," Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ",Proud,Joy/Happiness,12/10/2019 12:20,OakAchiever,Twitter,#Proud #BranchesOfAchievement,25,50,Canada,2019,12,10,12
251," A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ",Grateful,Love/Affection,2/28/2023 9:45,HeartGardener,Facebook,#Grateful #BlossomingConnection,20,40,USA,2023,2,28,9
252," Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. ",Empathetic,Love/Affection,4/3/2018 14:15,ThreadWeaver,Instagram,#Empathetic #TapestryOfUnderstanding,15,30,UK,2018,4,3,14
253," Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ",Compassionate,Love/Affection,6/20/2022 10:30,CloudCaretaker,Twitter,#Compassionate #ShowerOfEmpathy,18,36,Australia,2022,6,20,10
254," Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ",Playful,Joy/Happiness,7/8/2020 18:00,RainDancer,Facebook,#Playful #DanceInTheRain,22,44,Canada,2020,7,8,18
255," Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. ",Free-spirited,Joy/Happiness,8/15/2021 11:10,SkyPainter,Instagram,#FreeSpirit #PaintingTheSky,20,40,India,2021,8,15,11
256," Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",Inspired,Joy/Happiness,10/25/2019 16:50,PhoenixExplorer,Twitter,#Inspired #CreativePhoenix,15,30,UK,2019,10,25,16
257," Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ",Hopeful,Anticipation,10/5/2023 7:30,SunriseNavigator,Facebook,#Hopeful #SunriseOfPossibilities,12,24,USA,2023,10,5,7
258," Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ",Confident,Joy/Happiness,2/15/2022 13:15,SandStrider,Instagram,#Confident #FootprintsOfAssuredness,25,50,Australia,2022,2,15,13
259," Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ",Serenity,Neutral/Calm,5/8/2021 22:00,NightSerenader,Twitter,#Serenity #MoonlitSerenade,13,26,Canada,2021,5,8,22
260," Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",Curiosity,Anticipation,11/29/2020 14:45,KnowledgeSeeker,Instagram,#Curiosity #LabyrinthOfQuestions,17,34,USA,2020,11,29,14
261," In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ",Ambivalence,Joy/Happiness,9/14/2019 10:20,BreezeWaltzer,Facebook,#Ambivalence #AutumnWaltz,14,28,UK,2019,9,14,10
262," Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ",Grateful,Love/Affection,3/12/2022 19:55,StarNavigator,Twitter,#Grateful #GuidingStar,19,38,Australia,2022,3,12,19
263," With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. ",Zest,Joy/Happiness,3/30/2023 16:30,MeadowSprinter,Instagram,#Zest #FieldsOfEnthusiasm,16,32,India,2023,3,30,16
264," Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",Inspired,Joy/Happiness,12/8/2021 14:30,SkyArtist,Twitter,#Inspired #CloudsOfCreativity,18,36,India,2021,12,8,14
265," Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",Contentment,Neutral/Calm,4/27/2019 9:50,RiverNavigator,Instagram,#Contentment #TranquilWaters,20,40,Canada,2019,4,27,9
266," With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",Empathetic,Love/Affection,9/3/2023 21:40,LanternWanderer,Facebook,#Empathetic #LanternOfCompassion,16,32,USA,2023,9,3,21
267," A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",Free-spirited,Joy/Happiness,6/10/2020 10:05,DreamSoarer,Twitter,#FreeSpirit #WingsOfDreams,22,44,UK,2020,6,10,10
268," Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",Grateful,Love/Affection,4/1/2022 18:30,SunsetAdmirer,Instagram,#Grateful #GoldenHues,19,38,Australia,2022,4,1,18
269," Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",Confident,Joy/Happiness,1/15/2021 13:00,DanceStrider,Facebook,#Confident #DanceOfLife,23,46,Canada,2021,1,15,13
270," Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",Hopeful,Anticipation,5/6/2023 7:20,WindWhisperer,Twitter,#Hopeful #BrighterTomorrows,15,30,India,2023,5,6,7
271," Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",Playful,Joy/Happiness,11/18/2019 15:15,JugglingArtist,Instagram,#Playful #JugglingResponsibilities,25,50,USA,2019,11,18,15
272," Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",Inspired,Joy/Happiness,8/29/2020 20:45,StarStoryteller,Facebook,#Inspired #TalesToTheStars,14,28,UK,2020,8,29,20
273," Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",Hopeful,Anticipation,10/30/2022 11:40,WaveNavigator,Twitter,#Hopeful #SailorOfDreams,17,34,Australia,2022,10,30,11
274," A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",Compassionate,Love/Affection,7/1/2021 12:10,RainNurturer,Instagram,#Compassionate #TearsOfEmpathy,21,42,Canada,2021,7,1,12
275," Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",Proud,Joy/Happiness,1/5/2020 8:45,PeakConqueror,Twitter,#Proud #ScalingPeaks,23,46,USA,2020,1,5,8
276," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",Hopeful,Anticipation,7/17/2022 6:15,DawnGardener,Instagram,#Hopeful #SeedsOfOptimism,14,28,India,2022,7,17,6
277," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",Playful,Joy/Happiness,8/22/2018 17:20,CarnivalDreamer,Facebook,#Playful #CarnivalEscapade,24,48,Australia,2018,8,22,17
278," Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",Despair,Sadness,9/15/2021 16:00,ShatteredHeart,Instagram,#Despair #EchoingSilence,8,16,Canada,2021,9,15,16
279," Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. ",Bitterness,Anger,3/8/2019 14:20,VenomousSoul,Facebook,#Bitterness #ResentmentWeb,12,24,UK,2019,3,8,14
280," Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing. ",Loneliness,Sadness,7/20/2017 11:45,DesertWanderer,Twitter,#Loneliness #MiragesOfConnection,15,30,USA,2017,7,20,11
281," Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",Yearning,Sadness,11/2/2020 19:30,ColdEmbrace,Instagram,#Yearning #DistantWarmth,10,20,Australia,2020,11,2,19
282," Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors. ",Fearful,Fear,5/12/2022 2:00,NightPrisoner,Facebook,#Fearful #ImaginedHorrors,18,36,India,2022,5,12,2
283," Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion. ",Apprehensive,Fear,4/8/2023 13:15,TightropeWalker,Twitter,#Apprehensive #BalancingAct,14,28,UK,2023,4,8,13
284," Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",Overwhelmed,Fear,6/25/2021 17:50,AtlasBearer,Instagram,#Overwhelmed #BouldersOfExhaustion,22,44,Canada,2021,6,25,17
285," Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success. ",Jealous,Fear,8/30/2019 10:10,GreenMonster,Facebook,#Jealous #GreenEyedMonster,16,32,USA,2019,8,30,10
286," Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises. ",Devastated,Sadness,8/3/2022 15:30,StormSurvivor,Twitter,#Devastated #WindsOfBrokenPromises,25,50,Australia,2022,8,3,15
287," Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations. ",Frustrated,Anger,12/17/2020 9:20,PuzzleComposer,Instagram,#Frustrated #UnsolvablePuzzle,12,24,India,2020,12,17,9
288," Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach. ",Envious,Anger,2/28/2021 22:45,GildedHeartache,Facebook,#Envious #GildedPrize,20,40,USA,2021,2,28,22
289," Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition. ",Dismissive,Disgust,5/10/2018 14:00,IndifferentFort,Twitter,#Dismissive #ImpenetrableWalls,14,28,UK,2018,5,10,14
290," Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. ",Frustrated,Anger,1/7/2022 11:10,DreamMosaic,Instagram,#Frustrated #MosaicOfDisappointment,15,30,Canada,2022,1,7,11
291," Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ",Loneliness,Sadness,9/19/2019 3:30,NocturnalEcho,Facebook,#Loneliness #SolitaryNocturne,18,36,Australia,2019,9,19,3
292," Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune. ",Fearful,Fear,7/14/2023 23:00,DarkWhispers,Twitter,#Fearful #SpecterOfTheUnknown,13,26,UK,2023,7,14,23
293," Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time. ",Bitterness,Anger,4/5/2020 16:20,LingeringTaste,Instagram,#Bitterness #BitterAftertaste,10,20,India,2020,4,5,16
294," Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat. ",Overwhelmed,Fear,11/29/2021 8:45,TempestSurvivor,Facebook,#Overwhelmed #DrowningSoul,20,40,USA,2021,11,29,8
295," Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent. ",Jealous,Fear,12/12/2019 17:00,VenomousHeart,Twitter,#Jealous #HeartOfDiscontent,16,32,Australia,2019,12,12,17
296," Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. ",Devastated,Sadness,5/20/2022 14:50,FragileTrust,Instagram,#Devastated #ShatteredTrust,25,50,Canada,2022,5,20,14
